#
#
# ./calctrans file -o ../src-splitter/transition.h
# ./proccorpus corpus.0.txt > file;
|uim-fepの|あたらしい|ばーじょん| |uim-fepの|新しい|バージョン|
|かんま|くぎりなど| |カンマ|区切りなど|
|かーどを|みずに|せんげんする| |カードを|見ずに|宣言する|
|がくせいに|かいはつしてもらった|せいかを|とりこんだ| |学生に|開発してもらった|成果を|取り込んだ|
|がっこうでは|ない| |学校では|無い|
|がっこうでは|ない|きがした| |学校では|無い|気がした|
|がめん| |画面|
|がめんへの|もじ|びょうがって|どうやるのが|さいてきなのだろう| |画面への|文字|描画って|どうやるのが|最適なのだろう|
|かんせいは|ちかい| |完成は|近い|
|きがついたら|てつやになっていた| |気がついたら|徹夜になっていた|
|きざいが|じゅよう|ぎりぎりで|まにあわない| |機材が|需要|ぎりぎりで|間に合わない|
|きしは|らくばすると|もう|おきあがれなかった| |騎士は|落馬すると|もう|起き上がれなかった|
|きせつが|かわる| |季節が|変わる|
|きせつ|はずれの|らいめいが|とどろく| |季節|外れの|雷鳴が|轟く|
|きた| |来た|
|きたい|はっせい|そうち| |気体|発生|装置|
|きちょうな|じかんを|すごせたので| |貴重な|時間を|過ごせたので|
|きみと|わたしの|きょうつうてん| |きみと|私の|共通点|
|きのうの|のみかいは|きびしかったなあ| |昨日の|飲み会は|厳しかったなあ|
|きのうを| |機能を|
|きゅうな|たに| |急な|谷|
|きゅうに|あいこんの|さいずが|ちいさくなった| |急に|アイコンの|サイズが|小さくなった|
|きょうだけ|さんか| |今日だけ|参加|
|きょうとに|いったら|よく|やまに|のぼります| |京都に|行ったら|よく|山に|登ります|
|きょうは|ふどうさんやに|いって|ひっこしさきの|ぶっけんを|えらんできました| |今日は|不動産屋に|行って|引越し先の|物件を|選んできました|
|きょうの|１４じぐらいに|おとどけに|しっぱいしたらしい| |今日の|１４時ぐらいに|お届けに|失敗したらしい|
|きょうの|さいこう|きおんは|めでたく|３６|．|３どでした| |今日の|最高気温は|めでたく|３６|．|３度でした|
|きょうみを|しめさない| |興味を|示さない|
|きょうみを|しめさない| |興味を|示さない|
|きょねんぐらいには|さつえいされていたはずです| |去年ぐらいには|撮影されていたはずです|
|きれいに|はなが|さいた| |きれいに|花が|咲いた|
|きんじょの|ほんやに|おいてあった| |近所の|本屋に|置いてあった|
|くうき|よめと|いってるのに| |空気|読めと|言ってるのに|
|くだらない|しつもんばかりで|つらかった| |下らない|質問ばかりで|辛かった|
|くべつを|したいなら| |区別を|したいなら|
|くんれんしだいでは|こんなことも|できるようになる| |訓練次第では|こんなことも|できるようになる|
|けいさんできないような|きがする| |計算できないような|気がする|
|けいやくしょに|きさいされた|じゅうようじこうの|せつめいを|うける| |契約書に|記載された|重要事項の|説明を|受ける|
|けっきょく|、|こんかいは|あきらめて|べつの|ほうほうを|つかいました| |結局|、|今回は|諦めて|別の|方法を|使いました|
|けっして|そんなことは|ないと|おもいます| |決して|そんなことは|無いと|思います|
|けんげんを|てにいれる| |権限を|手に入れる|
|げんちで|はらえる|ほうが|てまが|すくない|きがする| |現地で|払える|方が|手間が|少ない|気がする|
|こい|おちゃが|なぜか|はやりだ| |濃い|お茶が|何故か|流行だ|
|こいを|すると|ものの|みかたが|かわる| |恋を|すると|物の|見方が|変わる|
|こう|かいていた| |こう|書いていた|
|こうご|ひょうげんに|よわい|きがする| |口語|表現に|弱い|気がする|
|こーぱすの|りょうを|もっと|ふやしていきたい| |コーパスの|量を|もっと|増やしていきたい|
|こうきゅう|しこう| |高級|志向|
|こうほを|せんたくする| |候補を|選択する|
|こきゃくの|さぽーとには|てまが|かかる| |顧客の|サポートには|手間が|かかる|
|ここで|やることに|いみが|ある| |ここで|やることに|意味が|ある|
|この|ほうほうは|やめて| |この|方法は|やめて|
|この|はがきは|さいせいしです| |この|葉書は|再製紙です|
|この|はしを|わたると| |この|橋を|渡ると|
|これぐらいで|おどろいていては|だめです| |これぐらいで|驚いていては|ダメです|
|これは|だっしゅつを|めざすしかない| |これは|脱出を|目指すしかない|
|これで|あんしんして|げーむが|できる| |これで|安心して|ゲームが|できる|
|これで|いいのか|どうか|しりませんが| |これで|良いのか|どうか|知りませんが|
|これを|うれば|あと|２にちは|めしを|くえる| |これを|売れば|後|2日は|飯を|食える|
|こようを|そくしんする| |雇用を|促進する|
|こんしゅうは|ろんぶんの|しめきりが|あって|かなり|しんどい| |今週は|論文の|締切が|あって|かなり|しんどい|
|こんせぷとは|ちがうけど| |コンセプトは|違うけど|
|こんな|じかんに|あらわれて|どうする|つもりだ| |こんな|時間に|現れて|どうする|つもりだ|
|こんぱいらを|つくろうと|おもう| |コンパイラを|作ろうと|思う|
|ごさんばかりで|うまくいかない| |誤算ばかりで|うまくいかない|
|こんびにごとに|ちがう| |コンビニごとに|違う|
|さいきん|らう゛くらふと|ぜんしゅうを|あつめている| |最近|ラヴクラフト|全集を|集めている|
|さいきん|めーるを|だせない|かんきょうに|います| |最近|メールを|出せない|環境に|います|
|さいきん|このてのが|ふえてきましたね| |最近|この手のが|増えてきましたね|
|さきに|いきなさい| |先に|行きなさい|
|さきに|くる| |先に|来る|
|さきは|ながそうだというのを|りかいした| |先は|長そうだというのを|理解した|
|さすがに|しんじんでもなければ|こんなことしない| |さすがに|新人でもなければ|こんなことしない|
|さすがに|ごつごうしゅぎという|きがする| |さすがに|ご都合主義という|気がする|
|さて|げーむの|つづきを|やります| |さて|ゲームの|続きを|やります|
|さんかできるか|でんわで|きいてみた| |参加できるか|電話で|聞いてみた|
|さんこうまでに|おつかいの|かーどの|なまえを|おしえてください| |参考までに|お使いの|カードの|名前を|教えてください|
|さんしょう|わたしを|つかうと|いろいろ|ややこしい|もんだいが|おきる| |参照|渡しを|使うと|いろいろ|ややこしい|問題が|起きる|
|ざいりょうが|まったく|ないため|うれたんで|だいようした| |材料が|全く|無いため|ウレタンで|代用した|
|ざったな|こーぱす| |雑多な|コーパス|
|ざっしに|れんさいされていた| |雑誌に|連載されていた|
|しかたがないので|ぐりーんしゃに|のりました| |仕方がないので|グリーン車に|乗りました|
|しごとの|こと| |仕事の|事|
|しごとが|できるのは| |仕事が|できるのは|
|しようする| |使用する|
|しゃないの|おかねの|かしかりは|げんきんです| |社内の|お金の|貸し借りは|厳禁です|
|しゅっきんの|たびに|きが|おもい| |出勤の|度に|気が|重い|
|しんかんせんで|よもうと|おもっていた|しりょうは|よまれない| |新幹線で|読もうと|思っていた|資料は|読まれない|
|しんけんに|かんがえるべきだと|おもいます| |真剣に|考えるべきだと|思います|
|しんじん|きょういくが|できてない| |新人|教育が|できてない|
|しんちゃくの|めっせーじが|たいりょうに|あった| |新着の|メッセージが|大量に|あった|
|じかん|どおりに|しあげていた| |時間|通りに|仕上げていた|
|じっかの|ねこの|しっぽは|みじかかったです| |実家の|猫の|尻尾は|短かったです|
|じっさいに|もくげきするまで|うたがう|ようそは|なかった|わけです| |実際に|目撃するまで|疑う|要素は|無かった|わけです|
|じっそう| |実装|
|じっそうされて|いこう| |実装されて|以降|
|じゅうよう| |重要|
|じゅんすいに|ましん|ぱわーの|もんだいなら|むりしない|ほうが|よい| |純粋に|マシン|パワーの|問題なら|無理しない|方が|よい|
|じょうけんつきというのは|ちょさくけん|ほご|かんけいの|はなし| |条件付きというのは|著作権|保護|関係の|話|
|じょじゅつ|とりっくに|たよりすぎな|きがする| |叙述|トリックに|頼りすぎな|気がする|
|じょうほう|しょり|しんこう|じぎょう|きょうかい| |情報|処理|振興|事業|協会|
|じょうほう|しょり|すいしん|きこう| |情報|処理|推進|機構|
|すいどうの|りょうきんの|てつづきを|まだ|してない| |水道の|料金の|手続きを|まだ|してない|
|すいみんが|たりない|きがする| |睡眠が|たりない|気がする|
|すうひゃくまん|こうもくの|じしょ| |数百万|項目の|辞書|
|すがたが|ふと|めに|はいったので| |姿が|ふと|目に|入ったので|
|すきな|えしの|もしゃを|してみた| |好きな|絵師の|模写を|してみた|
|すぐ|いこう| |すぐ|行こう|
|すごい|かわりようだ| |すごい|変わりようだ|
|すこし|はんせいしないと|いけない| |少し|反省しないと|いけない|
|すてるのも| |捨てるのも|
|せけんの|きたいに|こたえてみた| |世間の|期待に|応えてみた|
|せいのうを|しぼりだそうとしている| |性能を|絞り出そうとしている|
|せっかく|ねようと|おもったのに| |せっかく|寝ようと|思ったのに|
|せっかくだから|りょうほうに|さんかすることにする| |せっかくだから|両方に|参加することにする|
|せんたくものを|ほすのが|めんどうだ| |洗濯物を|干すのが|面倒だ|
|そういう|せいじてきな|しばりも|あるのか| |そういう|政治的な|縛りも|あるのか|
|そう|いってばかりも|いられない| |そう|言ってばかりも|いられない|
|そう|かんがえる| |そう|考える|
|そう|かんがえると| |そう|考えると|
|そう|かんがえるなら| |そう|考えるなら|
|そういう|にゅあんすです| |そういう|ニュアンスです|
|そう|いえば|きょうの|きたくは|かれより|はやかった| |そう|いえば|今日の|帰宅は|彼より|早かった|
|そうだとしたら|そのとき|かんがえる| |そうだとしたら|その時|考える|
|そもそも|その|だんかいまで|きてない| |そもそもその|段階まで|きてない|
|そつろん|おわったら|のみかいしないと|いけない| |卒論|終わったら|飲み会しないと|いけない|
|その|てら| |その|寺|
|そのために|あたらしい|しようが|ついかされたと|きいています| |そのために|新しい|仕様が|追加されたと|聞いています|
|それでは|しなぎれに|なるわけです| |それでは|品切れになる|わけです|
|それぞれの|みちの|たつじん| |それぞれの|道の|達人|
|それは|はかいしやすい| |それは|破壊しやすい|
|それは|みかた|しだいだね| |それは|見方|次第だね|
|それを|かいに|いったら| |それを|買いに|行ったら|
|そんなことは|どうでも|いい| |そんなことは|どうでも|いい|
|そんな|びょうき|どうやって|なおすのだろう| |そんな|病気|どうやって|直すのだろう|
|たいきちゅうに|あおく|ひかる|ばあいが|ある| |待機中に|青く|光る|場合が|ある|
|たいしたことは|ないと|おもわれるかもしれないが| |大したことは|無いと|思われるかもしれないが|
|たいてい|ほんにんは|きづいてないので|、|こえを|かけてください| |大抵|本人は|気づいてないので|、|声を|かけてください|
|ただしい|へんかんけっかを|えるために| |正しい|変換結果を|得るために|
|たしかに|あのひとは|しゃべりすぎだろう| |確かに|あの人は|喋りすぎだろう|
|たしか|にしかいがんの|ほうに|せかいいさんの|みずうみが|あったはず| |確か|西海岸の|方に|世界遺産の|湖が|あったはず|
|だいじに|かってやりたいね| |大事に|飼ってやりたいね|
|だいぶ|まともになりました| |だいぶ|まともになりました|
|だいぶ|やちんが|やすくなったので| |だいぶ|家賃が|安くなったので|
|たべてないから|じかんの|かかることは|できない| |食べてないから|時間の|かかることは|できない|
|たまにしか|あえないので| |たまにしか|会えないので|
|だしたら|かくじつに|きょひされると|おもう| |出したら|確実に|拒否されると|思う|
|だらだらと|らいとのべるを|よんだりして|すごしました| |だらだらと|ライトノベルを|読んだりして|過ごしました|
|ちがいは|あきらかですね| |違いは|明らかですね|
|ちずを|みても|やまおくなのが|わかります| |地図を|見ても|山奥なのが|わかります|
|ちゃっとばかりで|さぎょうが|すすまない| |チャットばかりで|作業が|進まない|
|ちゅうもんの|しなが|まだ|とどいてない| |注文の|品が|まだ|届いてない|
|ちょっと|びょうきっぽいなあ| |ちょっと|病気っぽいなあ|
|ちょくえい|さいとだけの|さーびす| |直営|サイトだけの|サービス|
|つかいかた|ぜんぜん|わかってないのですが| |使い方|全然|分かってないのですが|
|つかう|もじを|かいた|おおきな|てくすちゃを|よういする| |使う|文字を|書いた|大きな|テクスチャを|用意する|
|つかえるようになる|ころには|わすれている| |使えるようになる|頃には|忘れている|
|つくってもらった|ものとは|けっこう|ちがいます| |作ってもらった|物とは|結構|違います|
|つくえに|ものを|おく| |机に|物を|置く|
|つぎの|ひとは|どあを|しめてください| |次の|人は|ドアを|しめてください|
|つもが|わるくて|かせぐのは|むり| |ツモが|悪くて|稼ぐのは|無理|
|てきした|そふと| |適した|ソフト|
|てきしている| |適している|
|ですくとっぷが|さいきどうしたりすると|こうなる| |デスクトップが|再起動したりすると|こうなる|
|でじたる|しょめいや|めっせーじの|あんごうか| |デジタル|署名や|メッセージの|暗号化|
|でたら|まちがいなく|ごへんかん| |出たら|間違いなく|誤変換|
|でも|ほわいとりすとの|めんてなんすするの|めんどうですね| |でも|ホワイトリストの|メンテナンスするの|面倒ですね|
|とあるばしょで|まったりと|すごした| |とある|場所で|まったりと|過ごした|
|とうきょうに|でかける| |東京に|出かける|
|とうきょうまで|でんしゃ|いっぽん| |東京まで|電車|一本|
|とうけいてき|しゅほうの|とうじょうによって|じつようかした|ぶんや| |統計的|手法の|登場によって|実用化した|分野|
|とうじつまでに|かんすう|よびだしを|じっそうする| |当日までに|関数|呼び出しを|実装する|
|とうめんの|あいだは|こーぱすの|りょうを|ふやすことで|せいのう|こうじょうを|はかる| |当面の間は|コーパスの|量を|増やすことで|性能|向上を|図る|
|としを|とらない|うちに|はやく|やれと| |年を|取らない|うちに|早く|やれと|
|とちゅうまでは|やったけれど| |途中までは|やったけれど|
|とつぜん|めーるが|そうしんできなくなった| |突然|メールが|送信できなくなった|
|とだなを|あけたら|げーむきが|はいってた| |戸棚を|開けたら|ゲーム機が|入ってた|
|とても|おいしいです| |とても|おいしいです|
|となりの|にわには|にわ|にわとりが|いた| |隣の|庭には|二羽|鶏が|いた|
|とりあえず|たっぷり|のんできた| |とりあえず|たっぷり|飲んできた|
|どういう|いみの|かんじだろう| |どういう|意味の|漢字だろう|
|どうさする| |動作する|
|どうやって|しぼりこむか| |どうやって|絞りこむか|
|どうろの|じょうきょうによっては|じかんが|かかる| |道路の|状況によっては|時間が|かかる|
|どちらかというと|じんさいが|げんいんのようです| |どちらかというと|人災が|原因のようです|
|どらっぐ|すとあに|かいに|いったら| |ドラッグ|ストアに|買いに|行ったら|
|ないよう| |内容|
|なげつけたら|おなじ|こうかが|あった| |投げつけたら|同じ|効果が|あった|
|なぜ|そんな|ばぐが|いまどき|はっけんされるのか| |なぜ|そんな|バグが|今時|発見されるのか|
|なぜか|ろぐに|きろくされない| |何故か|ログに|記録されない|
|なぞの|もくてきの|ためである| |謎の|目的の|ためである|
|なにか|いみが|ある| |何か|意味が|ある|
|なにかを|ほうそうしたいらしい| |何かを|放送したいらしい|
|なまえと|かおが|いっちしなくて| |名前と|顔が|一致しなくて|
|なまえは|まだ|ない| |名前は|まだ|ない|
|なれた|にんげんだと|かっちゅう|きたまま|そくてんできるかもしれない| |慣れた|人間だと|甲冑|着たまま|側転できるかもしれない|
|なやむと|おもう| |悩むと|思う|
|なんだかんだで|しゅじゅつから|ぶじ|せいかんしたらしい| |なんだかんだで|手術から|無事|生還したらしい|
|なんとも|ない| |なんとも|ない|
|なんとか|おわりが|みえてきた| |なんとか|終わりが|見えてきた|
|にちようの|しんやという|じかんたいが|なによりも|ゆううつ| |日曜の|深夜という|時間帯が|何よりも|憂鬱|
|にほんじゅうの|えいがかんで|きまずいことが| |日本中の|映画館で|気まずいことが|
|にわに|さいた| |庭に|咲いた|
|ねっとからの|さんか| |ネットからの|参加|
|ねんじゅう|もじばけしているような|きがする| |年中|文字化けしているような|気がする|
|のうきが|せまる|など|かいはつが|いそがしい| |納期が|迫る|等|開発が|忙しい|
|のみだいが|すごい|きんがくになった| |飲み代が|すごい|金額になった|
|はまちとか|ぶりとかは|すきだな| |ハマチとか|ブリとかは|好きだな|
|はげしく| |激しく|
|はたらいている|じかんじゃないです| |働いている|時間じゃないです|
|はやく|ふろに|はいらないと|ねる|じかんが|なくなる| |早く|風呂に|入らないと|寝る|時間が|無くなる|
|はやく|ねるのも|じゅうようです| |早く|寝るのも|重要です|
|ばーじょんあっぷする|いぎが| |バージョンアップする|意義が|
|ばらの|はなが|さきほこる|にわ| |薔薇の|花が|咲き誇る|庭|
|ぱいぷらいんが| |パイプラインが|
|ぱらめーたを|こうしんする|ばあいは|つぎの|こまんどを|じっこうする| |パラメータを|更新する|場合は|次の|コマンドを|実行する|
|ひこうきの|けん|どうやって|かってます？| |飛行機の|券|どうやって|買ってます？|
|ひさびさに|ねくたいを|そうちゃくする| |久々に|ネクタイを|装着する|
|ひていてきな|かたちで| |否定的な|形で|
|ひげんじつてきな|かい| |非現実的な|解|
|ひるからの|よてい| |昼からの|予定|
|ぴざばっかり|くってると|ふとる| |ピザばっかり|食ってると|太る|
|びわこの|そばで|がっしゅくする| |琵琶湖の|そばで|合宿する|
|ふえるばっかりで|へらない|ちょきんが|ほしい| |増えるばっかりで|減らない|貯金が|欲しい|
|ふくごうごを|ゆうせんする|ろじっくが|へんだ| |複合語を|優先する|ロジックが|変だ|
|ふらんす|ぱんを|たべた| |フランス|パンを|食べた|
|ふれーむ|れーと|おとしすぎ| |フレーム|レート|落としすぎ|
|ぷろじぇくとを|かいしした| |プロジェクトを|開始した|
|ぶんせつの|くぎりかたが|かいぜんされた| |文節の|区切りかたが|改善された|
|へんか| |変化|
|へんかんが|ろんぶん|しようになってる| |変換が|論文|仕様になってる|
|へんかんせいどに|えいきょうする|ばぐが|あったので| |変換精度に|影響する|バグが|あったので|
|べつものだと|すれば| |別物だと|すれば|
|べつの|ところにも|きじを|おかきに|なっている| |別の|ところにも|記事を|お書きに|なっている|
|べつの|ほうこうに|しんかすることを|めざす| |別の|方向に|進化することを|目指す|
|ひるから|はじめたら|ひがくれる| |昼から|始めたら|日が|暮れる|
|ふぁいるの|ゆくえが|わからなくなった| |ファイルの|行方が|分からなくなった|
|ふるほん|かいに|いくの|めんどうだった| |古本|買いに|行くの|面倒だった|
|放送を|続けることが|困難になった| |放送を|続けることが|困難になった|
|ほかの|ひとより|とまりこみの|かいすうは|すくなくて|すみそう| |他の|人より|泊まり込みの|回数は|少なくて|済みそう|
|ほかの|ぷろばいだとの|けいやく| |他の|プロバイダとの|契約|
|ほぼ|すべての|さぎょうを|じぶんで|おこなう| |ほぼ|全ての|作業を|自分で|行う|
|ほんに|かけば|よい| |本に|書けば|よい|
|ほんねを|いうべきでは|ない| |本音を|言うべきでは|ない|
|ぼうしの|でざいんが|かわっているので| |帽子の|デザインが|変わっているので|
|ぼくは|うみが|みえる|ほうが|よいです| |僕は|海が|見える|方が|良いです|
|まあ|、|ろっくが|やりたいんだろうなあとは|かんじました| |まあ|、|ロックが|やりたいんだろうなあとは|感じました|
|まあ|じっけん|はやい|だんかいで|おわってるからな| |まあ|実験|早い|段階で|終わってるからな|
|まいにち|すぱむばかり|たいりょうに|やってくる| |毎日|スパムばかり|大量に|やってくる|
|まいにち|だしている|わけでは|ないですからねえ| |毎日|出している|わけでは|無いですからねえ|
|まうんとし|わすれていただけだ| |マウントし|忘れていただけだ|
|まだ|もうしこんでないから|、|かいさいされるなら|よゆうだ| |まだ|申し込んでないから|、|開催されるなら|余裕だ|
|まちがって|ひろうえんの|かいじょうに|いってしまった| |間違って|披露宴の|会場に|行ってしまった|
|まろやかな|こーひーを|のむ| |まろやかな|コーヒーを|飲む|
|みせを|しめる|じかん| |店を|閉める|時間|
|みたこと|ない|ぱたーんには|ひくい|かくりつを|わりあてる| |見たこと|無い|パターンには|低い|確率を|割り当てる|
|みっか|れんぞくの|りりーす| |三日|連続の|リリース|
|むしろ|れいの|えいがっぽくて|わらったのだが| |むしろ|例の|映画っぽくて|笑ったのだが|
|みらいの|とし| |未来の|都市|
|めざましが|なった| |目覚ましが|鳴った|
|めもり|あくせすの|ちゅうしょうか| |メモリ|アクセスの|抽象化|
|もう|いちど|ただしい|めいしょうで|よびかけましょう| |もう|一度|正しい|名称で|呼びかけましょう|
|もう|いっかい|よみなおすと|いろいろ|はっけんできそう| |もう|一回|読み直すと|いろいろ|発見できそう|
|もう|こんな|じかん| |もう|こんな|時間|
|もう|すてられる|ぎじゅつなので|べつの|ことを|やった|ほうが|よい|きがする| |もう|捨てられる|技術なので|別の|事を|やった方が|良い|気がする|
|もう|すこし|よい|かきかたが|できないか|かんがえたのですが| |もう|少し|良い|書き方が|できないか|考えたのですが|
|もじを|かく| |文字を|書く|
|もっと|いっぱい|でーたを|あつめることが|できれば|よいのですが| |もっと|いっぱい|データを|集めることが|できれば|良いのですが|
|ものすごい|とおまわりですね| |ものすごい|遠回りですね|
|もんだい|ありませんでした| |問題|ありませんでした|
|やさいと|くだものを|まいにち|かかさず|たべる| |野菜と|果物を|毎日|欠かさず|食べる|
|やりが|ふる| |槍が|降る|
|やりだしたら|とまらない| |やりだしたら|止まらない|
|ゆうじんの|ぶろぐを|みて|まわる| |友人の|ブログを|見て|回る|
|ゆきが|すくなくて|くろうしているらしい| |雪が|少なくて|苦労しているらしい|
|ゆーざ|にんしょうを|かけるのが|めんどう| |ユーザ|認証を|かけるのが|面倒|
|ようとに|てきさない| |用途に|適さない|
|ようやく|ぎろんが|もりあがった| |ようやく|議論が|盛り上がった|
|よけいに|やるきが|なくなる| |余計に|やる気が|無くなる|
|よのなかでは|こんな|あそびが|はつめいされているのですね| |世の中では|こんな|遊びが|発明されているのですね|
|れいぶんを|いろいろと|ついかする| |例文を|いろいろと|追加する|
|わしが|きょうとえきに|つくまで|つもらないようにして|ほしい| |わしが|京都駅に|着くまで|積もらないようにして|欲しい|
|わたしの|なまえ| |私の|名前|
|わたしの|なまえは|たばたです| |私の|名前は|田畑です|
|わたしは|ねこを|かう| |私は|猫を|飼う|
|わたしが|かんりしている|そふとの|じょうほうです| |私が|管理している|ソフトの|情報です|
|わたしも|なにか|とらいしてみようかな| |私も|何か|トライしてみようかな|
|らくがきでも|まいにち|かいていると|じょうたつしてくる| |落書きでも|毎日|書いていると|上達してくる|
|わだかまりを|みずに|ながす| |わだかまりを|水に|流す|
|わりと|かんたんだと|おもいますけどね| |わりと|簡単だと|思いますけどね|
|らいとのべるじゃない|しょうせつも|よまないと|いけない| |ライトノベルじゃない|小説も|読まないと|いけない|
|りりーすを|おくらせすぎる| |リリースを|遅らせすぎる|
|りりーすは|かれに|まかせて|じぶんは|だらだらしよう| |リリースは|彼に|任せて|自分は|だらだらしよう|
|れいぶんを|ふやすと|しぜんな|こーどで|せいのうが|かせげる| |例文を|増やすと|自然な|コードで|性能が|稼げる|
|れもんの|かおりが|いちめんに|ひろがる| |レモンの|香りが|一面に|広がる|
|ろうどうかんきょうを|あつかった|ばんぐみが|ふえましたね| |労働環境を|扱った|番組が|増えましたね|
|ろうにんちゅう|ひまだった| |浪人中|暇だった|
|ろーかるで|ためしても|だめだったので|べつの|ほうほうを|かんがえる| |ローカルで|試しても|ダメだったので|別の|方法を|考える|
